Review,Date,page_number
"After 3 week proper use. ..Design good,sound quality good for media  audio purposes nice bass crisp sound quality.But one drawback is the connection quality when u shift from song to calling ,there is always a glitch on sound quality while on call.So if u buying this to listen songs or media purpose its best value for money.",2 July 2025,2
"Awesome sound quality !!Only problem is removing headsets from the case and the case is also open, which makes security of headsets an issue",16 July 2025,2
"I've been using Oneplus Z2 ANC and JBL Tune 310 UsbC earphones for past year. I'd say Wave Buds 2 is better than Z2, but worse than Tune 310. Still has clarity expected from JBL, but sounds lack ""flavour"", vocals included. Good enough for audiobooks, podcasts or youtube, but  songs seem lacking.Buds are comfortable, though. Doesn't sit too deep in ear, and still stays on during walking. Practically forgot these were there. Having no stem helps, doesn't get accidentally knocked out.ANC makes almost no difference from passive noise isolation by in-ear buds. Talkthru mode is brilliant in amplifying voices over just ambient transparent mode.Mic isn't great, but that's just neckband earphones vs TWS problem. Battery life including case is definitely more than 24 hrs, just the buds is definitely more than 6 hrs.JBL app makes a lot of difference in customising the earphones. Can keep multiple user custom equaliser settings, audio balance etc.No lid on case, but magnets are strong. Not strong enough to hold on if case falls, though. Dropped case from abt 5ft on bed, 1 bud popped out. Might be better to buy a silicon cover with lid for this.",29 April 2025,2
"Audio is vera low ,can be used only if you are in idle state ,please don't go for it",11 July 2025,2
The media could not be loaded.,16 June 2025,2
"Don't fall for brand name because the jbl bass is not there very basic sound quality i mean i understand that this has 8 mm driver but still you might think that there will be any plus point after all this is a jbl brand but no if you are buying these earbuds for jbl name then don't buy very very basic sound quality they are giving at this price range, go for other brands at this price range.",26 July 2025,2
"The media could not be loaded.Anc is not up to the mark but its very good compared to other brands, sound quality is very nice , design is very unique topless , battery life is equally as mentioned and its light weighted earbudsI doesn't satisfy with Functionality bcs i chose which earbuds does volume control, playback control or mode change control but in the volume control or playback control or mode control i can't modify the change like 1 tap i stop the song and 2 tap i need to change next song or tap and hold for volume up-downHere basically its fix like 1 tap u play-pause2 tap you change next song 3 tap change previous song  i can not change this tap settings like 1 tap i want to change the next song 2 tap i want to change previous song or 3 tap i want to play - pause",16 January 2025,2
Good one. It would be great if it had a cap.,26 May 2025,2
Sound is very soft but clearBass is not goodBattery backup is averageFeatures are awesomeQuality is good,14 May 2025,2
ANC is not that greatNot very Protective Case Design (No cap or top layer)Touch is hard with the shape of the budsHard to set the gesture (Only the Give setting user cannot change it as he or she likes)Comfortable but not much.,15 July 2025,2
Good sound,4 May 2025,3
"This is surely a poorly designed JBL product. There is no lid for the earpod. The magnet appears strong, but the earpod keeps detaching from the case. Also, the earpod performance is just okay.I ordered two pieces and got them delivered two days back. As I found there is no lid for the case I called up the helpline on the same day of delivery. The first person assured me return pick up in four days. As there was no update on the app about the return pick up, I called up again. This time the Amazon response was nothing can be done as the picture showed no lid for the earpod case.My advise, consider something else. I am also thinking of moving out of Amazon.",18 July 2025,3
Look way uglier in real life photos are definitely enhanced. Also way too big and not fit for girls. Bought them for my sister but won’t fit in her ears so i am stuck with pink headphones now😃,30 June 2025,3
"Poor sound quality, poor fitting into the ears (at least for me), low battery backup, and the worst for taking calls. Not at all recommended at any price point.",11 July 2025,3
"Totally love the feel of the product, the performance, happy on those fronts with my purchase. BUT, really very concerned about there being no cover to shut the case!When the ear pieces are inside, I'm afraid they may fall out of my pocket after dislodging from their place (despite the magnet, the fear is there). When the ear pieces are in use, then I'm constantly worrying about how much dust may gather inside the case!What did JBL achieve by eliminating the cover?!? It makes zero sense, if they are trying to improve ergonomics, zero sense for the customer's peace of mind!I was in 2 minds for asking for a full refund because there's no clear mention of this, I simply thought the graphics are modified to show only what's important. Silly of me, thus I didn't ask for the refund, but for future reference I hope everyone reads this.A GREAT listening device, in a really silly design!",23 May 2024,3
The best thing is that the build quality. As u know jbl has its own quality. People looking for anc please dont go for it. But this is an exclent product for those who prefer listening music without compromising budget. Gaming might delay for 1 sec but thats fine as a bgmi player. I took this only because i needed a buds design. People with a wide ear might prefer the stick version which is jbl beam. The best thing is the auto connect option with android and ios. Bettery life is almost 8hrs in one strech and other 24 hrs with case. I could go easily 6 to 7 hrs while playing games. Video mode and putting the equalizer in vocal makes everghhing perfect. Its an value for money product. People looking for ease of use could get this. Appearance looks classy in black.battery life is great in this product. Get this Ease.,9 June 2024,3
Been using this headphones for 18 months.Sound quality is good. There is no ANC. It does support ambient aware.Build quality is good and battery is decent.Touch controls are too less. Design looks cool.But don't buy it if your are planning to spend another 3000 after 18 months.One of the earpieces go faulty and don't charge up,18 May 2025,3
Drops of ear. Poor holding,2 April 2025,3
I didn't realise that this earpod case has no cover. Other than that the product is working fine,11 April 2025,3
Nice,30 July 2025,3
Worst sound quality,26 July 2025,4
"Call and mic quality sucks.Volume is often times too low.Needs to be reset to factory settings often,cause this device has gained sentience of its own and disconnects after a min or two.Bass is non existent in this device.Uncomfortable to wear most of the time.No return or exchange option.DON'T BUY THIS PRODUCT.Battery Life is average and charging speed is okay.I now seriously doubt the quality of JBL products. Very disappointed to get cheated on by a trusted brand.",26 July 2025,4
Didn't even last a year,21 July 2025,4
Poor sound quality.. JBL disappointed me..,18 July 2025,4
"Very very poor sound qualityNo button to increase soundSo much poor sound, no bass, not upto the mark of brand JBL. Very disappointed. Sound clarity is not also good.Better not to buy this particular product of JBL.Fits in ear perfectly.At last I returned it. Very much dissatisfied.",8 August 2025,4
"Not a good one, no cover, quality average, not cost effective",30 June 2025,4
Very good,8 April 2025,4
This lvl of price and the quality of sound and product disappointed me and make ke hate i recently brought tour one m2 that works fine but as price range the anc doesn't work that expected also sound feels low this wave bud is also uncomfortable if wearing for more than hour design and features is only worth but this price range wasn't expecting that 🙂👍🏼,22 July 2025,4
"Look if any one have budget around 3000, you don't buy any thing go for this product no one compete these product around these price range.Every things is good like buds and there box charging is also well not too good but ok with fast charging support...While for voice every one know that JBL is excellent in this category bass is medium.One thing which is bad noise cancellation is not good.I am expecting good but literally there is no noise cancellation . Overall product is good if we ignore noise cancellation.",7 September 2024,4
Battery life,15 July 2025,4
Not a parchedVolume not clear and lower,17 June 2025,5
"I am writing a review after using this for a month,  I would not suggest this earbuds for bike riders while will go for long rides why because it is too noisy like wind sound is irritating in the ear not only riding a bike but also when wind is blowing the sound is irritating, if you are a music lover please don't buy it and I will give 1 rating for this ear buds and as mentioned in the description there is no active noise cancellation, please stay away from this cheap products and last but not least there is no return for this product so be cautious before buying this product",11 June 2025,5
"*JBL Wave Buds 2 – Very Disappointing Product**1. It doesn't come with a protective cap.2. Not suitable for making calls.3. It is overpriced, and the call quality is very poor.4. No return option available.I visited the JBL service center and reported that the call volume is too low — it's hard to hear anything in traffic, and the person on the other end also struggles to hear my voice clearly. Shockingly, the service center staff said the call feature works like that by default.Overall, it's a waste of money. I strongly advise **not to buy this product **",18 June 2025,5
Sound output is very low very bad don’t buyAnd they don’t accept return and ask to go to service centre to exchange no point of ordering online when we have to go to service centre making fool don’t order,5 August 2025,5
"It is a good product, I like it, it is very good and easy to use.",1 July 2025,5
It was not up to my expectations.The sound quality is not good.The ambience sound if we put it on it will not working properly.,3 January 2025,5
"Why did you pick this product vs others?:Didnt liked the product at all sound quality is good but the case doesnt have a protective cap.While taking out the buds from the case it always falls from your hand as design of the case is very small, for the price they charging the case ruins it all and the call quality on this is also pretty much bad .lost one of my earpod from the case when it fell down as it doesn’t bave a cap .Left with only one now .",26 June 2025,5
Clear sound and balanced base,18 March 2025,5
"**JBL Wave Buds 2 – Very Disappointing Product**1. It doesn't come with a protective cap.2. Not suitable for making calls.3. It is overpriced, and the call quality is very poor.4. No return option available.I visited the JBL service center and reported that the call volume is too low — it's hard to hear anything in traffic, and the person on the other end also struggles to hear my voice clearly. Shockingly, the service center staff said the call feature works like that by default.Overall, it's a waste of money. I strongly advise **not to buy this  product **",13 June 2025,5
Bad quality product specially in terms of handling,6 June 2025,5
Very worst product left side ear buds won't work when I call amazon to refund or replace and they tell me to call up JBL when I call JBL they tell me to visit store and wait for 12 days for new ear buds and now they are not picking call or initiating refund worst service from both end.,10 July 2025,6
Excellent,8 July 2025,6
Charging very poor,10 June 2025,6
Bass effect is less.,2 February 2025,6
"Please don't buy this product. If you use this product for short time, it creates pain in your ears. 2. If you use single ears birds, that will give a noise in your ears.3. Voice quality is not good on phone oor in laptop.Please think before buy..",16 July 2025,6
The reviews are so raved but the product is average. The case doesn't have a lid to close it.,26 December 2024,6
Good,30 June 2025,6
Works as advertised,26 June 2025,6
Nice audio quality,10 February 2025,6
"this is open without the lid , which made me to loss one of the tws .. please buy another  model with jbl or case for this model",10 November 2024,6
Definitely a big upgrade on OnePlus buds. Very lightweight and stay put in the ear. Overall a good purchase for someone looking for a cheaper alternative to AirPods without compromising much on the sound quality.,28 May 2025,7
Incoming voice noise is coming not a good choice .please don't prefer,1 May 2025,7
I want to return but there is only replacement option guys pls do not order even ever by mistake 😭🙏😭🙏😭🙏.....,7 August 2025,7
The design is such that does not have a covering lid. Hence the ear pods easily drop out easily. If you drop it on a wet surface water will easily get inside.Very weird case which does not have a protecting case.,19 March 2025,7
It’s expected that the current generation Bluetooth devices are able to connect to multiple devices at a time. Unfortunately this one doesn’t have it. And the lack of casing on top is a bad choice of design. Not recommended.,6 October 2024,7
beautiful sound system,17 June 2025,7
Audio quality is crystal clear and good but case lacking the lid is the major disadvantage,25 December 2024,7
Good prodect,17 June 2025,7
West of money and sound is not goodReturn also not available soo sad...,6 August 2025,7
Excellent,17 June 2025,7
Pods are not connecting to my device and noise cancellation are out. I'm not satisfied with the productNeed a replacement or return worest experience in return policy,16 July 2025,8
"Don’t buy this, don’t buy any product from Amazon . No services , they sales defective product, with no service.",25 July 2025,8
Good buy ! The design is little different than traditional but over is a good product.,27 May 2025,8
"Call quality is very poor, no comfort during the call. Suddenly it's silent and suddenly some noise.",26 July 2025,8
The media could not be loaded.The dirtiest worst crap the absolute worst very very dirty experience with this item (JBL)AND ALSO VERY VERY DIRTY EXPERIENCE WITH AMAZON Because Amazon did not solve my problem.,26 July 2025,8
"This review is genuine as i used it fo 6 days likes: design,sound qualityDislikes: its catches the outside noises so clear that whom ever we call they hear perfectly other than our voices, its creates eco voices sometimes but we cant hear outside noises while we are speaking to others that was goodOnly problem is it catches the surrounding sound so good that other called person couldnt hear anythingI am returning this product. JBl products i have used  before also they were superb but in this segment they are not upto the mark",15 March 2023,8
The worstest earphones on the planet! There is an option called noice cancellation where it cancels the person’s noice but makes all the other surrounding sounds veryy very loud and clear… is this even called a noice cancellation feature??? Bloody hell with the earpods. Not even a penny worth!!! Bloody earpods! Shame on JBL company! Literally cheapest quality with higher price!!!,28 May 2025,8
Noise cancellation:Item doesn't cancel the noise at all. Able to hear air while talking.Mono mode doesn't even support noise cancellation option.Not ideal for the regular use.,5 July 2025,8
"Product is not very good, its sound is dropping while listening to music and watching movie",13 October 2024,8
"Sound Quality is Good But Its Ear Buds Are Loose Dosent fits proper in ears,fails again and again.Also Not a single good proper fitting protection case/cover available on amazon.i ordered zitel so called premium absolutely useless after a lot of request returned back.it dosent fit proper also.overall very bad experience.jbl must provide it with proper case adding extra cost please",23 May 2025,8
This not up to mark ok ok product.,26 October 2024,9
Best earbuds experience till date,29 May 2025,9
"Worst budsWorst than the products sold on railway stationsBetter to choose some other brandTotal waste of moneyNo noise cancellation, in fact it’s producing noise itselfRating 0.05",23 June 2025,9
I would never recommend these to anyone. Not comfortable to wear. The sound is really low . Not worth the money,8 July 2025,9
Bilkul bekar bakwas paisa barbaad,5 August 2025,9
Very bad quality of sound no proper bass please do not purchase,18 July 2025,9
Worst headphones at this price segment... And no return facility available. Very poor sound quality... You cant even feel the bass.. Very disappoint product from JBL,27 June 2025,9
This product is the worst one I've ever seen it doesn't even fit in my ears and it had trouble in speakers it seems like I got used one never anyone buy this product,13 June 2025,9
"It's a 3rd class product, worst earbuds i ever used.If you buy it you regret.Takes -20 to 30 seconds to connect.Sound output - just 40-50% of average earbuds.Touch sensitivity - wise you best of luck.Sadly there is no. option for zero star.",21 May 2025,9
"Mic not working, customer care not will to replace the piece",15 July 2025,9
"Mic not working, customer care not will to replace the piece",15 July 2025,10
Country of origin is misleading. Wish Amazon and the seller did a better job showing manufacturing origin.,6 July 2025,10
Worst product don't buy,1 August 2025,10
Product was worst .not suitable for calls very un comfort not fit in ears sound was customised no option for return.overall it's not worthy in any kind..,19 June 2025,10
Mic quality is too poor,21 September 2024,10
Loose in ears even after changing silicone covers given. Sound quality is good,22 August 2024,10
Worst product just after a day of using left buds charging is coming down from 100 to 0 in 15 min.,19 June 2025,10
The ear bud doesn't fit perfectly in the ear and keeps falling. I do not wear it outside for this reason. Sound quality is good.,16 May 2024,10
Waste dont buy it no return,18 July 2025,10
"It a good product, but the size is little small and little uneasy in putting in the ear due to the size of the earphone, good buy.",28 May 2024,10
