Review,Date,page_number
Such an amazing laptop at this price.If you want better laptop minimal size long lasting battery 2 to 3 days ( varies with the use) go for it.I got this at 57k at this price compared to all other windows laptop it is the best one.Not suggesting for gameing.Key issues: Keyboard imprinting while useing bag.Hinches are tight to open but when it is opend it can be easly handled with one finger.,9 August 2025,2
Firstly My first laptop is this MAC M1 😬🤩💲for only 53.2k 💀🤩💸😍Display is tooo gooooddd.As an forex trader I need proper quality of display and maximum battery life. Which is best in this 50-60k budget.Mac weight is lighter than lighter to carry all day😁Performance is top notch all day without any kind of issue like heating or lagging.,7 August 2025,2
"Not supported power bi and you can't use Linux directly in this ,with virtual machine u can use that's the worse part of this macos",25 July 2025,2
Performance is good.  Battery stays longer.,20 July 2025,2
"Laptop works really fast, light weight, display is amazing, just lift up and it’s ready to roll easiest to install, full day + battery life , no heating issue",14 August 2025,2
Genuine product. Worth for money. Best for drafting and research,17 July 2025,2
Great product... worth buying it i have ordered this for 59k but later on its price goes 55k :( 5k loss but it's okay good product purchase it when it has a heavy discount in it's price 😉,9 August 2025,2
"After putting the MacBook Air M1 through its paces for a few months, I’ve got a balanced take on it. Switching from my old Intel machine, the M1 chip really shines with its efficiency – it stays cool without needing a fan and breezes through routine stuff like web surfing, video calls, and some photo tweaks. The Retina screen is sharp and colorful, perfect for binge-watching, and the battery holds up amazingly well, often lasting me all day on a single charge. Apple’s signature build is solid, and the keyboard feels great for extended use.On the flip side, heading into 2025, this entry-level version is showing limitations. The 8GB RAM can bog down during heavier multitasking, like juggling lots of browser tabs with other programs, leading to some frustrating lags. Storage at 256GB runs out fast with bigger files, and you can’t upgrade it later. While it’s still capable for light tasks, it doesn’t keep pace with the latest M-chips for more intensive work like editing videos. Plus, the lack of extra ports or features like a Touch Bar means you might need adapters for some setups.For budget-conscious folks needing a straightforward laptop for simple daily needs, this is a decent pick, especially if discounted. But if your workload is growing or you want future-proofing, go for a newer model with better specs – the M1 was revolutionary, but it’s not the powerhouse it once was for everything.",1 August 2025,2
This is old model macbook but still relevant in 2025 this doesn't look outdated at all,12 August 2025,2
"Finally i bought this mac in sale at 55k with latest os, good price, good piece",7 August 2025,2
"I love this product, weight less and easy to carry everywhere.",10 August 2025,3
"A must buy. Good quality , performance does not heat , great display using since a year in this budget i must say its a worth buy.",4 August 2025,3
Go for it I bet you can't get a better deal in 55k .... very best at this price range...,4 August 2025,3
Good,14 August 2025,3
Best product 🖤,12 August 2025,3
best laptop anyday better than windows.,9 August 2025,3
Very Good Performance according to the selling price .,6 August 2025,3
writing this review after 2 years such a awesome product. cause no issue over this time period .,30 July 2025,3
The media could not be loaded.Smooth and perfect for students for coding purposeAlso display is too good and storage is normal and battery gives too much than expected,12 August 2025,3
Worth it for 2025 too,3 August 2025,3
Best item,4 August 2025,4
"Very fine built quality, Clear and balanced sound of Speaker, premium look, just little bit small screen size",17 June 2025,4
"The most beautiful feeling for a beginner mac user. I got this laptop for ₹55,000 in the prime day sale. It's so smooth and it's screen is fantastic. It feels really premium while you unbox it and take it on your lap. I am a student so will use it for study and assignment purposes. Will also try to learn video editing here. It's super fast as soon as I opened it, it started within 5 seconds...Overall its a great laptop. I got it delivered today and I am looking forward for this wonderful machine..",14 July 2025,4
"💯Best laptop under 60000, Main ye laptop video editing and music production ke liye liya tha bahut hi achha laptop hai👌Aankh band karke le lo.👍",18 July 2025,4
Superb laptop at this price,27 July 2025,4
Superb,29 July 2025,4
"Love it. Apple never disappoints. It does the job. The packaging was good. The Battery backup, speed, it’s light weight, looks everything’s great. Will review after few months of use. Also the delivery was fast. Highly recommended.",3 June 2025,4
"So I bought this during GIF 2024 for 51K, upgrading from the ASUS FX505DD.Tired of using Windows+Android all my life, it was time to move to the dark side and this was the final piece of the puzzle.Pros:1. Compact size with a 13.3 inches screen that gets bright enough and looks pretty sharp.2. Thin and light and aluminium it gives a premium feel.3. Blazing fast performance with the M1 Chip and 8 GB RAM and a battery that lasts super long (but not as much as claimed)Cons:1. Webcam is good when compared to Windows laptops but considering Apple’s prestige in implementing great cameras, it can feel meh.2. 256 GB SSD is still weirdly the fastest of the MacBook Airs including the M4 but the issue? Storage. It’s fine for my use case but when I lent it to a friend for video editing, the limitation was noticed pretty quickly.3. Subjective but some people might not like the classic wedge design of yesteryears.At the current pricing of 59,999 (as of May 26th), it’s a no-nonsense device that delivers as advertised with some minor drawbacks.Verdict? Go for it, simple as.",26 May 2025,4
Amazing,23 July 2025,4
Great… Nice product… please go for it,20 July 2025,4
At first I was very nervous to order such a laptop online but it turned out original and good.,15 July 2025,5
Good product 💯,21 July 2025,5
System is good but better save for few more months and purchase 16GB unified memory mac. 6 gb out of 8gb is already occupied. If you decide to push it a even a little mac os will begin to swap unified memory contents with ssd which shortens the life of ssd.,30 June 2025,5
"One of the best purchases I have made.I bought in 2024 for 50K, 4 years after release.I mainly use for programming. Battery backup is so good.No other windows laptop in 50K cannot match with the performance of this device",7 July 2025,5
"Excellence Redefined.The display, Sound quality and the overall functionality and feel of the product is unbeatable.I had no idea that it also comes with a prebuilt Metal GPU processor, that makes it suitable for ML usage, Speed and capabilities.Loving it.",30 June 2025,5
Good for a student or a corporate person because it can be carry easily and do alot of work but it's really sensetive to dust and scratches I'll say one thing if anyone want to use it properly use protection like screen protector and laminate your mac,11 May 2025,5
Beautiful tool for students.,19 July 2025,5
"Value for money, recommended for office use. Refurbished product! First use was in Feb’ 2024 by the original owner.",7 August 2025,5
Still best in 2025 July … go for it,18 July 2025,5
"It an awesome smooth piece of machinary, the quality is quite  good, it's light weight and easy to carry and travel with, it takes some getting used to after it quite smooth and easy to use, the battery life is also quite good too, it's definitely value for money.",18 June 2025,5
"Within 5 months of use the macbook died.Upon returning from office, when I tried to turn it on, it won't, charged it and no sign of life, I took it to the nearest apple service centre and was informed the macbook is dead. I wasn't expecting the poor quality from apple. I WOULD SUGGEST THE OTHER BUYERS TO NOT BUY IT FROM AMAZON.",2 July 2025,6
"Display quality, performance",2 August 2025,6
The Best Product and Value for Money.,10 July 2025,6
Amazing on amazonGreat deal with amazonValue for moneyThanks to amazon for this price,4 July 2025,6
Value for money 🥰,14 July 2025,6
This is my dream laptop I bought this at 59k because I am not wait more this is very good laptop for this range as compared to windows,10 July 2025,6
"Greatest tech ever invented, mind blown, sound quality is splendid, video quality is smooth, airdrop works like magic across all my devices, iPad and iPhones. Happy for this purchase. 🤯",1 July 2025,6
all goodDisplay quality:very good displayBattery life:around 11 hour,5 July 2025,6
"Hi,We don’t have apple stickers in the box, and inside the charger box is a lot of dust!",20 July 2025,6
"The MacBook delivers top-notch performance with a sleek, premium design.Battery life is excellent, and the display is crisp and vibrant.Perfect for work, creativity, and everyday use — truly worth the investment!",6 July 2025,6
Why did you pick this product vs others?:Security reasonsPerformance:AmazingSize:13inch,23 June 2025,7
After five years of launch this is still one of the most powerful machines I have ever seen.. Runs smooth.. Even on heavy tasks.. No lag. Display is top notch.. The keyboard and trackpads are the best in the segment..,10 June 2025,7
"The media could not be loaded.I had bought in prime day sale under 55000 , best under this budget in india",17 July 2025,7
Nice mack book.,17 June 2025,7
"Not a reviewr. But it wud be selfish if I dnt tell this to other buyers like me who are confused b4 getting a Macbook insted of a windows laptop. I'm the kind of person who spends 8 hrs daily on laptop with sheets, docs, folders, browsers and all. Everyone knos Macbook is smooth, but why am i writing this today, after 6 months?Becoz today, my lovly Macbook slipped from my hand, from a height of about 2.5 feet, straight onto a hard marble floor, corner-first, without any case or cover. My heart skiped a beat, I swear any other laptop wud have broken badly. But this Macbook, which I bought online from Amazon in this part of India, survived like a champ. This realy made me believ in Apple. From now, consider me a true Apple fan.",13 May 2025,7
"I saw a lot of reviews saying they got a bonk unit, i was skeptical ordering my unit too. But after 5 months of use, no complaints so far. Although, battery is at 97%. But thats okay I guess. Other than that no complaints. I was searching for another product in my order history and saw this and thought of throwing in this comment. For someone who might be skeptical about the seller, well I got this unit in the sale, maybe one shippment got damaged units or smth, but mine for sure is good.",22 April 2025,7
"Slim, durable",15 June 2025,7
Good product. Received proper laptop. Im using it for web development,10 June 2025,7
"It is working very well. The display is beautiful, as per Apple standards. The sleek design and size make it very comfortable to carry.Overall, a very deserving product for people looking for high performance, productivity enhancement, and heavy processing.",28 May 2025,7
I just loved it,16 June 2025,7
The MacBook had 100% battery health and doesn’t look refurbished. It’s the best product at this price range. Just go for it blindly!,6 June 2025,8
"My purchase for 56k₹ was undoubtedly a good deal. I bought this 3 months ago. I have been using apple products for years now. The only reason I use them is for the longevity of the product. This laptop serves my purpose perfectly. I do a lot of study and notes writing on this and also video watching. It also plays 4k videos without any interruptions. I don’t have  any issues with M1 chip while doing all these tasks. I also played a game to test “asphalt legends”, that will heat it up a little. If you are a gamer I’d say it is wise to get a gaming console instead of playing those on computers. It’s also good that the company is selling these products for high discounts. Otherwise it’s not affordable for everyone to get M3 chip laptops for such high prices. India needs more time to get there.You can buy it happily if longevity of the device is what you see to pay for.",2 March 2025,8
"Great device even though it's a 2020 model. The screen feels absolutely premium and the overall experience is fantastic. Battery lasts longer than other laptops at this price, speed is immaculate, the design is old but looks simple and feels good. If you're searching for a laptop for just browsing, streaming and studying, this is a must buy for this price <333",8 June 2025,8
"Super smooth process, top product",7 June 2025,8
The media could not be loaded.Product is way more fkn great,4 July 2025,8
"Apple knows how to keep customers stick to them no matter what !Maybe it's brand value, maybe it's sleek aesthetic design, maybe its features, or maybe all !Once you use apple macbook , you don't wanna go back to windows ever , trust me !And absolutely good piece delievered by Amazon!!Try to take it during festival sales for steal deals!",14 April 2025,8
"There is no doubt about the premium feel you'll get from an Apple product. But if you are new to macOS, then there will be serious changes in how you are going to get work done. If you need it for the office and have been comfortably using Windows for the past few years, then you have to decide whether the shift is worth it. If you work in a technical field where you need a lot of peripherals and customization then it is a poor choice but if you are in a creative or research field then the laptop will be an extremely lucrative investment.",6 January 2025,8
"*This is my secondary device*As a writer churning out 3,000-4,000 words daily, the MacBook Air M1 serves as a reliable secondary device. While it's not my primary workstation, it effortlessly handles my writing needs. The keyboard, with its tactile and responsive keys, is a delight to type on. However, transitioning from a Windows machine, I did encounter a learning curve with the unique macOS shortcuts.For light tasks like browsing, emailing, and word processing, the M1's snappy performance is impressive. However, when pushing it with multiple heavy-duty applications, the 8GB RAM can sometimes become a bottleneck. If you're seeking a long-term investment, the M2 variant with more RAM would be a wiser choice.Nevertheless, considering its price point of around 53k in 2024, the MacBook Air M1 offers exceptional value for money. It's a solid choice for writers, students, and casual users who need a reliable and portable device.",8 December 2024,8
"Very good,excellent product, battery is ok,speed is ok,",13 June 2025,8
"I got my New boats air dopes 141, and tried using it with my Macbook air M1, audio is breaking in between and they are disconnecting from time to time, this issue is specific to Mac because I tried using it with a Windows laptop and they work just fine",15 May 2025,8
Absolutely good,7 June 2025,9
The media could not be loaded.Soothing.My first order for the same product was automatically returned back to the seller. It was a good incident as the serial number of the MacBook pertaining to that order was already in use. The warranty of that product started 5 days before the order was placed for the same. Hence it’s a caution ⚠️ —- Do check your warranty using the serial no of the product before you accept the product. It might happen that everything is packed and sealed but the product which you’re receiving is already a returned product or a used one. Beware of this. Just make sure you check the warranty using the serial number that it’s not yet started while you’re receiving it and you are good to go. This time my product is genuine hence sharing the video. This is my second macbook. My first MacBook Pro m1 13 inch had an auto shutdown issue after 3 years of usage fixing which was costlier than getting this hence I ordered this. I hope it goes well. Hopefully this will last long . 🤞,15 October 2024,9
Display quality is top notch,5 June 2025,9
"This is the review i am writing after using this for 15 days .. i have compared it with my friends latest asus tuf gaming laptop its faster than that .. firstly i was confused before buying this device cause it is launched in 2021 .. but but..1. The design just wow its fabulous.. the metal build is premium... And the sleak design and light wieght for design and weight i will give it 5 out of 5.2. The performance i havent felt a single lag or flaw its just ""chumeswari"" in performance 5 out of 5.3. The display it is best for content consumption... Just wow the screen quality is far beyond your imagination.. 5 out of 5.4. Sound quality is just too good . It's loud enough .. 5 out of 55. Just one corn in my view point if you are a gamer then this is not for you . And the ports you have to buy a dongle apple says sorry for this 😅My apologies the track pad wow its just wow .If you are thinking to buy it on 2024 or not i will say go for it with closed eye and open it after it will delivered to you.. you wont be regreting for it i can assure this 😅",2 November 2024,9
It's good,29 May 2025,9
"Got it for 57k on black Friday sale , and it's worth every penny , it's battery life and lightweight build is super convenient for students , and that was something I was looking for in a laptop, really satisfied with my purchase",23 April 2025,9
"Awesome product at this price range! Nothing to complain about. Ecosystem with iPhone and Air-pods pro works incredible! Ticks all the boxes. The speakers are so awesome, but sometimes squeaks a little under some high pitched voices.",4 May 2025,9
"I got this deal in Big billion sale in 50500 it is super fast, great sound, light weight, I am full stack developer and it is really impressive performance still with m1 chip thanks Amazon and Apple for best deal and great product to launch",22 April 2025,9
"After 2 weeks used, charger in working properly, pop up sound for connecting charger stoped and slow charging, what should I do?",23 May 2025,9
I buy it in offer. For that price ok,17 March 2025,9
"Firstly, thank you amazon for the quick delivery. Got it in just 2 days. Secondly, the product is genuine. The packaging was also very good. Thirdly, this is my first macbook and it is way better than my Asus S series windows laptop which i had for almost 7 years. The battery back up is awesome. I received the product yesterday and charged it to the full. And today after almost 24 hours, it is still in 87%, which is a wonder comparing to my old laptop. The only problem i am facing now is that my Canon GSeries printer is not compatible with MacOs. But this is not a problem with the Macbook Air. I just have to change my printer. Other than that, everything is perfect. The laptop is a beast. And don't worry for MS Office there are lot of sites where we can buy genuine MS Office with lifetime validity. I personally got it for just 300 bucks. After using it for few days now i feel like i might never go back to windows... But never know. Anyways, i Got my Mac for just ₹56999/- during Great Indian Festival Sale. Which is a crazy deal. Now its 73k. :)",30 October 2024,10
Processor is really good. Almost 10x faster than win.,23 May 2025,10
"Nice product Quality, performance is amazing, Display quality is best, Truly value for money",16 May 2025,10
Excellent product highly recommend,21 May 2025,10
"I got this for 52k on oct 2024 as amazon diwali sale was going and it is best product in this price range if you task is not gaming but like classes , content consuming , light coding etc . Don’t go for any other . But if you are getting it for around 70-72k then you might get M2 version at that range in some sale . Also apple just announced that m2 and m3 base variants now with come with 16gb ran instead of 8 so  you can go for that in 72k price range if you are getting but keep in mind M2 base variant ssd is slower than M1 so make a decision keeping all these points in mind .Also i was not sure like as it is an apple product so i will get fake or original so you can always check serial number which you get in online warranty  after it is dispatched and check it on apple site . Also make a video of the product before opening so incase if there is anything you can get that replaced .",2 November 2024,10
What a feel when using apple product and macbook loved it. 😊🥰 I am using desktop for 12 years and never feel like that. If you need laptop. Then buy apple macbook or if you need desktop then only buy windows.,9 April 2025,10
Happy with it. It works,17 May 2025,10
"Been using it for 6 months now, never faced an issueWorks well, even played games like Witcher 2, worked wellCoding and daily tasks also best !",2 May 2025,10
"I am a student using this laptop for coding, studying, entertainment, video editing, and 3D Modelling. Here are the pros. and Cons. I have noticed till now:Pros:-Everything works like a charm without slow downs-I can have many things open without having to worry about ram-It is quite (cause it doesn't have a fan)-Super long battery life-The simplicity and beauty of the mac os user interface (ui)Cons.-When doing intense work for long periods, it does heat up and there is no way of dissipating the heat apart from letting it sit idle-When connecting a mouse to it via a usb-c dock, natural scrolling needs to be disabled for it to work like it does on any other computer, however, when using the trackpad, natural scrolling needs to be enabled for the same, there is no way to disable and enable it for mouse and trackpad respectively at the same time and needs to be done manually-The camera quality could have been better-For some reason the pinch to zoom function of the trackpad doesn't work as intended in appsIn all, this is a beautiful machine made with the intention of allowing people to do their work without much hindrance and is not made for gaming.",15 October 2023,10
"Man I am using mac for years but the M1 generation macs are something else. I have heard negatives of macbook M2 and everyone suggests M1 is a beast so I bought it and I also the offer on it is what you can not ignore the only thing is you do not get a notch and camera is 720P but if you have an iphone with the update 18.0 on you will love M1, you can use your iphone camera as webcam. This macbook is really very slim and looks beautiful. Functionality man, you can use your Iphone inside this macbook. But after using 15"" macbook bro it will be a huge jump using 13"" but you will get used to in an hour I bet. Brightness is good there is no issues and better you use auto brightness. It can also do gaming and also you can play games from your mobile. The speed of ram and HDD is really good and that is why mac is known right. You won't be regretting buying this in place of M2 I bet.",24 October 2024,10
